iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
12800,1000.0,1.5904405,4.98298e-06,0.0,1.592932,0.9958312,0.094456,1.5912775,0.013038635,0.0009958312,73.35585188865662
12900,1000.0,1.5907578,4.2509123e-07,0.0,1.5909704,5.4935384,0.09986682,1.5912992,0.0130524635,0.0054935385,74.03622078895569
13000,1000.0,1.5892496,1.5209059e-05,0.0,1.5968541,5.600085,0.09105627,1.5881001,0.011015892,0.0056000846,74.72628474235535
13100,1000.0,1.5890329,9.222899e-06,0.0,1.5936444,2.9146926,0.09377448,1.5888174,0.011472464,0.0029146927,75.44598603248596
13200,1000.0,1.588303,6.3393554e-06,0.0,1.5914726,0.70232517,0.09520982,1.5900713,0.012270808,0.00070232514,76.15608811378479
13300,1000.0,1.5884882,4.1230683e-06,0.0,1.5905497,3.1247005,0.09310767,1.5890471,0.011618733,0.0031247004,76.85629272460938
13400,1000.0,1.5887889,2.369725e-06,0.0,1.5899737,2.2842054,0.097486354,1.5895665,0.01194942,0.0022842055,77.62604427337646
13500,1000.0,1.5895597,1.3067185e-05,0.0,1.5960933,2.10734,0.094292715,1.5889021,0.011526465,0.0021073401,78.31608390808105
13600,1000.0,1.5889117,5.65347e-06,0.0,1.5917383,1.8659719,0.09487432,1.5881755,0.011063933,0.001865972,79.04609799385071
13700,1000.0,1.5894915,3.0161946e-05,0.0,1.6045724,5.3284817,0.0919995,1.5876232,0.010712266,0.0053284816,79.75502014160156
13800,1000.0,1.5883782,1.5828426e-05,0.0,1.5962924,4.952503,0.09267186,1.5875486,0.010664821,0.0049525034,80.45586156845093
13900,1000.0,1.5881778,2.1124066e-05,0.0,1.5987399,2.0077884,0.09787054,1.5878053,0.010828257,0.0020077885,81.17618584632874
14000,1000.0,1.5907707,2.6712154e-05,0.0,1.6041268,1.4442043,0.096463285,1.5900238,0.012240529,0.0014442044,81.88607096672058
14100,1000.0,1.5882407,1.6559174e-05,0.0,1.5965203,3.0512385,0.09529045,1.5895535,0.0119411945,0.0030512386,82.61613631248474
14200,1000.0,1.5868239,1.2271958e-05,0.0,1.5929599,3.1565638,0.09972,1.5875317,0.010654092,0.0031565635,83.33796763420105
14300,1000.0,1.5879354,5.6615195e-06,0.0,1.5907662,3.7416565,0.10058904,1.5887752,0.0114456415,0.0037416564,84.05627107620239
14400,1000.0,1.5873504,2.880029e-06,0.0,1.5887904,0.924694,0.09771753,1.58829,0.01113677,0.000924694,84.7720844745636
14500,1000.0,1.5870925,4.3371065e-06,0.0,1.589261,1.6099197,0.09976753,1.5880316,0.010972261,0.0016099197,85.4761118888855
14600,1000.0,1.5873029,4.3446244e-06,0.0,1.5894753,3.6420946,0.09555259,1.5877805,0.010812402,0.0036420946,86.2010726928711
14700,1000.0,1.5898981,2.8629394e-05,0.0,1.6042128,4.425539,0.102501184,1.5882959,0.011140585,0.004425539,86.87627077102661
14800,1000.0,1.5873117,3.639314e-05,0.0,1.6055083,5.0950356,0.10244846,1.5873495,0.010538101,0.005095036,87.55867862701416
14900,1000.0,1.5891652,7.2303365e-08,0.0,1.5892013,4.0511703,0.10183062,1.5884395,0.011231899,0.0040511703,88.2760682106018
15000,1000.0,1.5863323,1.9924399e-05,0.0,1.5962945,1.2619929,0.099939615,1.5882105,0.011086106,0.0012619928,89.03128576278687
15100,1000.0,1.5895648,4.986363e-05,0.0,1.6144966,4.1281643,0.09631585,1.5879085,0.010893941,0.004128164,89.74619817733765
15200,1000.0,1.5878115,5.2120566e-07,0.0,1.5880721,2.2317538,0.099220514,1.5862092,0.009812117,0.002231754,90.44596743583679
