iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
14800,10001,0.14700872,1.74E-06,0.1556851,0.048974182,14.702638,0.019345999,0.001147836,45.21000934
14900,10001,0.14712831,2.10E-05,0.25221133,0.045839928,14.690496,0.018504262,0.004259704,45.50000024
15000,10001,0.14700945,1.64E-06,0.15522449,0.047961667,14.698817,0.019081116,0.00133393,45.82966661
15100,10001,0.14699231,1.91E-06,0.1565621,0.04807452,14.698949,0.019090176,0.001214003,46.11257768
15200,10001,0.14699997,2.27E-06,0.15834989,0.04869585,14.702385,0.019328475,0.000951669,46.46146154
15300,10001,0.14702581,3.47E-06,0.16435589,0.04690568,14.694632,0.018790841,0.002351598,46.73979783
15400,10001,0.14700198,1.52E-06,0.15460545,0.04807423,14.699768,0.019147038,0.001082988,47.09011149
15500,10001,0.14700045,1.40E-06,0.15399413,0.047960404,14.69963,0.019137383,0.001170679,47.44008183
15600,10001,0.1470139,1.78E-06,0.15591991,0.04809845,14.700422,0.019192338,0.001216381,47.7650032
15700,10001,0.14697789,3.44E-06,0.1641607,0.049270283,14.704732,0.019491196,0.001313115,48.05195165
15800,10001,0.14702228,1.45E-06,0.15426031,0.048250977,14.701246,0.01924944,0.001160949,48.34018207
15900,10001,0.14703931,2.07E-06,0.15740839,0.04807537,14.700432,0.019193053,0.0010919,48.65804124
16000,10001,0.14700887,2.68E-06,0.1604132,0.049076445,14.7045,0.019475102,0.001423429,48.92994285
16100,10001,0.14706987,5.43E-06,0.17422551,0.04759043,14.698713,0.019073844,0.001984398,49.26154304
16200,10001,0.14704987,2.35E-06,0.1588039,0.048182666,14.701319,0.019254565,0.001237068,49.53994179
16300,10001,0.14707361,4.04E-06,0.16729352,0.04772656,14.699929,0.019158244,0.001611685,49.862257
16400,10001,0.14705178,2.96E-06,0.16185154,0.046037953,14.6934185,0.018706799,0.004713288,50.13709807
16500,10001,0.14704616,1.51E-06,0.15462083,0.048415635,14.702725,0.019352078,0.000833818,50.5101397
16600,10001,0.14703572,1.34E-06,0.1537248,0.04840364,14.702807,0.019357681,0.000947652,50.79993629
16700,10001,0.14704458,1.58E-06,0.15493266,0.048342284,14.70268,0.01934886,0.000946733,51.1299541
